                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7517,                 2.7309,                0.88254,                0.96253,                 0.0578,                0.63777,                0.54644,                 0.4834,                 3.1368,                0.78325,             0.00041111,             0.00041111,             0.00041111
                      2,                0.52783,                 1.5506,                0.84849,                0.84266,                0.92989,                0.94239,                0.89592,                0.33444,                  1.416,                 0.7769,             0.00055461,             0.00055461,             0.00055461
                      3,                0.42764,                 1.1938,                0.82684,                0.88164,                0.93512,                0.96961,                0.93931,                0.26561,                 0.9394,                0.76911,             0.00042311,             0.00042311,             0.00042311
