                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51106,                 1.9156,                 1.0044,                0.66455,                0.76828,                0.83762,                0.72527,                0.48731,                 2.1835,                0.90971,             0.00041336,             0.00041336,             0.00041336
                      2,                0.47212,                 1.0836,                0.96711,                0.89223,                0.96261,                0.97872,                0.94467,                0.24658,                0.95949,                0.76444,             0.00055612,             0.00055612,             0.00055612
                      3,                0.40186,                0.83744,                 0.9273,                0.97765,                0.99051,                  0.995,                0.98901,                0.20086,                0.66582,                0.76335,             0.00042388,             0.00042388,             0.00042388
