                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52892,                 1.9412,                 1.0171,                      0,                      0,                      0,                      0,                      0,                 4.9326,                      0,             0.00041341,             0.00041341,             0.00041341
                      2,                0.47962,                 1.0711,                0.95896,                      0,                      0,                      0,                      0,                      0,                 4.1776,                      0,             0.00055615,             0.00055615,             0.00055615
                      3,                 0.4067,                0.79238,                0.93216,                      0,                      0,                      0,                      0,                      0,                 2.9546,                      0,             0.00042389,             0.00042389,             0.00042389
