                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0361,                 2.8461,                0.96753,                0.59697,                 0.4126,                0.56452,                0.49219,                0.50236,                 3.0625,                0.79598,             0.00041111,             0.00041111,             0.00041111
                      2,                0.63946,                 1.7409,                0.86563,                0.69452,                0.84388,                0.86173,                0.78866,                 0.4207,                 1.6035,                0.78993,             0.00055461,             0.00055461,             0.00055461
                      3,                0.54494,                 1.3399,                 0.8454,                0.82905,                0.80234,                0.92389,                0.86376,                0.35936,                 1.4492,                0.78313,             0.00042311,             0.00042311,             0.00042311
