                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50406,                 1.9044,                0.99502,                 0.9337,                0.95818,                  0.995,                0.89131,                0.43463,                 1.3087,                 0.8925,             0.00041339,             0.00041339,             0.00041339
                      2,                0.47153,                 1.0933,                0.96274,                0.82629,                0.75733,                0.87644,                0.81357,                0.35376,                 1.8186,                0.81316,             0.00055614,             0.00055614,             0.00055614
                      3,                0.42077,                0.80785,                0.93556,                0.98759,                      1,                  0.995,                  0.995,                0.13711,                0.48879,                0.73997,             0.00042388,             0.00042388,             0.00042388
