                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76156,                 2.6968,                0.89602,                      1,                 0.1756,                0.76487,                 0.6497,                0.58456,                 3.0826,                0.80689,             0.00041111,             0.00041111,             0.00041111
                      2,                0.50801,                 1.4895,                0.84514,                0.71274,                0.77256,                0.81304,                0.74593,                0.44621,                 1.6413,                0.79884,             0.00055461,             0.00055461,             0.00055461
                      3,                0.45477,                 1.2002,                0.83746,                0.86519,                0.84072,                0.92477,                 0.8653,                0.38925,                 1.1238,                0.78827,             0.00042311,             0.00042311,             0.00042311
